type_species,Species,Author,Subspecies,Common_name,Familyetc,sp#,changes
,Tomodon orestes,HARVEY & MUÑOZ 2004,,,"Colubridae (Dipsadinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",19298,
,Toropuku inexpectatus,"HITCHMOUGH, NIELSEN & BAUER 2020",,,"Diplodactylidae, Gekkota, Sauria, Squamata (lizards: geckos)",23397,
x,Toropuku stephensi,(ROBB 1980),,"E: Stephen’s Sticky-toed Gecko, Stephens Island Gecko, Striped Gecko","Diplodactylidae, Gekkota, Sauria, Squamata (lizards: geckos)",19299,
,Toxicocalamus buergersi,(STERNFELD 1913),,E: Buerger’s forest snake,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",19300,
,Toxicocalamus cratermontanus,KRAUS 2017,,,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",21130,
,Toxicocalamus ernstmayri,"O'SHEA, PARKER & KAISER 2015",,E: Star Mountains Worm-Eating Snake,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",20195,
,Toxicocalamus goodenoughensis,ROBERTS & AUSTIN 2020,,,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",23583,new species
,Toxicocalamus grandis,(BOULENGER 1914),,E: Setekwa River forest snake,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",19301,
,Toxicocalamus holopelturus,MCDOWELL 1969,,E: Mt Rossel forest snake,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",19302,
x,Toxicocalamus longissimus,BOULENGER 1896,,E: Woodlark or Fergusson Island forest snake,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",19303,
,Toxicocalamus loriae,(BOULENGER 1898),,E: Loria forest snake,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",19304,
,Toxicocalamus mattisoni,KRAUS 2020,,,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",23335,
,Toxicocalamus mintoni,KRAUS 2009,,,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",19305,
,Toxicocalamus misimae,MCDOWELL 1969,,E: Misima Island forest snake,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",19306,
,Toxicocalamus nigrescens,KRAUS 2017,,,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",21208,
,Toxicocalamus pachysomus,KRAUS 2009,,,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",19307,
,Toxicocalamus preussi,(STERNFELD 1913),"Toxicocalamus preussi angusticinctus (BOGERT & MATALAS 1945)
Toxicocalamus preussi preussi (STERNFELD 1913)","Preuss’s forest snake
angusticinctus: Fly River forest snake
preussi: Preuss’s Sepik forest snake","Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",19308,
,Toxicocalamus pumehanae,"O'SHEA, ALLISON & KAISER 2018",,E: Managalas Plateau Snake,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",21837,
,Toxicocalamus spilolepidotus,MCDOWELL 1969,,E: Spotted forest snake,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",19309,
,Toxicocalamus stanleyanus,BOULENGER 1903,,E: Owen Stanley Range forest snake,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",19310,
,Toxicodryas adamanteus,"GREENBAUM, ALLEN, VAUGHAN, PAUWELS, WALLACH, KUSAMBA, MUNINGA, ARIS-TOTE, MALI, BADJEDJEA, PENNER, RÖDEL, RIVERA, STERKHOVA, JOHNSON, TAPONDJOU & BROWN 2021",,,"Colubridae, Colubrinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",23780,new species
x,Toxicodryas blandingii,(HALLOWELL 1844),,E: Blandings Tree Snake,"Colubridae, Colubrinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",19311,
,Toxicodryas pulverulenta,(FISCHER 1856),,E: Fischer's Cat Snake,"Colubridae, Colubrinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",19312,
,Toxicodryas vexator,"GREENBAUM, ALLEN, VAUGHAN, PAUWELS, WALLACH, KUSAMBA, MUNINGA, ARIS-TOTE, MALI, BADJEDJEA, PENNER, RÖDEL, RIVERA, STERKHOVA, JOHNSON, TAPONDJOU & BROWN 2021",,,"Colubridae, Colubrinae, Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",23783,new species
x,Tracheloptychus madagascariensis,PETERS 1854,,"E: Madagascar Keeled Cordylid
G: Madagaskar-Kiel-Schildechse","Gerrhosauridae (Zonosaurinae), Scincoidea, Sauria, Squamata (lizards)",19313,
,Tracheloptychus petersi,GRANDIDIER 1869,,E: Peters' Keeled Cordylid,"Gerrhosauridae (Zonosaurinae), Scincoidea, Sauria, Squamata (lizards)",19314,
,Trachemys decorata,(BARBOUR & CARR 1940),,"E: Haitian Slider, Hispanolan Slider","Emydidae, Deirochelyinae, Testudinoidea, Testudines (turtles)",19317,
,Trachemys decussata,(GRAY 1831),"Trachemys decussata decussata (GRAY 1831)
Trachemys decussata angusta (BARBOUR & CARR 1940)","E: Cuban Slider, North Antillean Slider","Emydidae, Deirochelyinae, Testudinoidea, Testudines (turtles)",19318,
,Trachemys dorbigni,(DUMÉRIL & BIBRON 1835),"Trachemys dorbigni adiutrix VANZOLINI 1995
Trachemys dorbigni dorbigni (DUMÉRIL & BIBRON 1835)
Trachemys dorbigni brasiliensis FREIBERG 1969","E: Black-bellied Slider, D’Orbigny’s slider
E: Brazilian Slider [adiutrix]
Portuguese: Tartaruga, Tartaruga-Imperial, Tartaruga-Verdadeira, Tartaruga-Verde-e-Amarela, Tigre-D'água, Tigre-D'água-Amarelo","Emydidae, Deirochelyinae, Testudinoidea, Testudines (turtles)",19319,
,Trachemys gaigeae,(HARTWEG 1939),"Trachemys gaigeae gaigeae (HARTWEG 1939)
Trachemys gaigeae hartwegi (LEGLER 1990)","E: Big Bend Slider
G: Big-Bend-Schmuckschildkröte
E: hartwegi: Nazas Slider
S: Jicotea de La Meseta Mexican","Emydidae, Deirochelyinae, Testudinoidea, Testudines (turtles)",19321,
,Trachemys grayi,(BOCOURT 1868),"Trachemys grayi grayi (BOCOURT 1868)
Trachemys grayi emolli (LEGLER in GIBBONS 1990)
Trachemys grayi panamensis MCCORD, JOSEPH-OUNI, HAGEN & BLANCK 2010","G: Nicaragua-Schmuckschildkröte [emolli]
S: Jicotea Negra","Emydidae, Deirochelyinae, Testudinoidea, Testudines (turtles)",19322,
,Trachemys medemi,"VARGAS-RAMÍREZ, VALLE, CEBALLOS & FRITZ 2017",,E: Atrato slider,"Emydidae, Deirochelyinae, Testudinoidea, Testudines (turtles)",20945,
,Trachemys nebulosa,(VAN DENBURGH 1895),"Trachemys nebulosa nebulosa (VAN DENBURGH 1895)
Trachemys nebulosa hiltoni (CARR 1942)","E: Black-bellied Slider
E: Fuerte Slider [hiltoni]
S: Jicotea de del Rio","Emydidae, Deirochelyinae, Testudinoidea, Testudines (turtles)",19323,
,Trachemys ornata,(GRAY 1831),,"E: Ornate Slider
S: Jicotea","Emydidae, Deirochelyinae, Testudinoidea, Testudines (turtles)",19324,
x,Trachemys scripta,(THUNBERG in SCHOEPFF 1792),"Trachemys scripta scripta (SCHOEPFF 1792)
Trachemys scripta elegans (WIED 1838)
Trachemys scripta troostii (HOLBROOK 1836)","E: Pondslider, Pond Slider, scripta: Yellowbelly Slider, elegans: Red-eared Slider, troostii: Cumberland Slider
G: Buchstabenschmuckschildkröte, Rotwangenschmuckschildkröte (elegans), Gelbwangenschmuckschildkröte (T. s. scripta), Cumberland-Schmuckschildkröte (troosti)
D: Roodwangschildpadden
S: Hicotea; Icotea; Jicotea
Russian: красноухая черепаха","Emydidae, Deirochelyinae, Testudinoidea, Testudines (turtles)",19325,
,Trachemys stejnegeri,SCHMIDT 1928,"Trachemys stejnegeri stejnegeri (SCHMIDT 1928)
Trachemys stejnegeri malonei (BARBOUR & CARR 1938)
Trachemys stejnegeri vicina (BARBOUR & CARR 1940)","E: Antillean Slider, Puerto Rican Slider","Emydidae, Deirochelyinae, Testudinoidea, Testudines (turtles)",19326,
,Trachemys taylori,(LEGLER 1960),,"E: Cuatro Cienegas Slider
S: Jicotea de Cuatrocienegas","Emydidae, Deirochelyinae, Testudinoidea, Testudines (turtles)",19327,
,Trachemys terrapen,(BONNATERRE 1789),,E: Jamaican Slider,"Emydidae, Deirochelyinae, Testudinoidea, Testudines (turtles)",19328,
,Trachemys venusta,(GRAY 1855),"Trachemys venusta venusta (GRAY 1855)
Trachemys venusta callirostris (GRAY 1855)
Trachemys venusta cataspila (GÜNTHER 1885)
Trachemys venusta chichiriviche PRITCHARD & TREBBAU 1984
Trachemys venusta iversoni MCCORD, JOSEPH-OUNI, HAGEN & BLANCK 2010
Trachemys venusta uhrigi MCCORD, JOSEPH-OUNI, HAGEN & BLANCK 2010","cataspila: Huastecan slider
iversoni: Yucatan Slider
panamensis: Panamanian Slider
uhrigi: Uhrig’s Slider
venusta: Meso-American Slider
callirostris: G: Kinnfleck-Schmuckschildkröte
callirostris: Colombian Slider
chichiriviche: Venezuelan Slider
S: Jicotea de Agua","Emydidae, Deirochelyinae, Testudinoidea, Testudines (turtles)",19329,
,Trachemys yaquia,(LEGLER & WEBB 1970),,"E: Yaqui Slider
S: Jicotea del Yaqui","Emydidae, Deirochelyinae, Testudinoidea, Testudines (turtles)",19330,
,Trachischium apteii,"BHOSALE, GOWANDE & MIRZA 2019",,,"Colubridae (Natricinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",22412,
x,Trachischium fuscum,(BLYTH 1854),,"E: Blackbelly Worm-eating Snake
G: Darjeeling-Wurmnatter","Colubridae (Natricinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",19331,
,Trachischium guentheri,BOULENGER 1890,,"E: Günther’s Worm-eating Snake, Rosebelly Worm-eating Snake
G: Korallenbauch-Wurmnatter
Chinese: Geng Shi Ni She (耿氏坭蛇)","Colubridae (Natricinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",19332,
,Trachischium laeve,PERACCA 1904,,E: Olive Oriental Slender Snake,"Colubridae (Natricinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",19333,
,Trachischium monticola,(CANTOR 1839),,"E: Mountain Worm-eating Snake
G: Assam-Wurmnatter
Chinese: 山坭蛇","Colubridae (Natricinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",19334,
,Trachischium sushantai,"RAHA, DAS, BAG, DEBNATH & PRAMANICK 2018",,"E: Sushanta’s Worm-eating Snake
G: Sushantas Wurmschlange","Colubridae (Natricinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",21224,
,Trachischium tenuiceps,(BLYTH 1854),,"E: Yellowbelly Worm-eating Snake
G: Orangebauch-Wurmnatter
Chinese: 小头坭蛇","Colubridae (Natricinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",19335,
,Trachyboa boulengeri,PERACCA 1910,,"E: Northern Eyelash Boa
G: Rauhschuppenboa
S: Boa pigmea de Boulenger","Tropidophiidae, Henophidia, Alethinophidia, Serpentes, Squamata (snakes)",19336,
x,Trachyboa gularis,PETERS 1860,,E: Southern Eyelash Boa,"Tropidophiidae, Henophidia, Alethinophidia, Serpentes, Squamata (snakes)",19337,
,Trachydactylus hajarensis,(ARNOLD 1980),,"E: Spacious Rock Gecko, Banded Ground Gecko","Gekkonidae, Gekkota, Sauria, Squamata (lizards: geckos)",20287,
x,Trachydactylus spatalurus,(ANDERSON 1901),,"E: Spacious Rock Gecko, Banded Ground Gecko","Gekkonidae, Gekkota, Sauria, Squamata (lizards: geckos)",11802,
,Trachylepis acutilabris,(PETERS 1862),,"E: Wedge-snouted Skink, Sharp-lipped Mabuya","Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19338,
,Trachylepis adamastor,CERIACO 2015,,"Portuguese: Lagartixa-adamastor
English: Adamastor Skink","Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",20223,
,Trachylepis affinis,(GRAY 1838),,E: Senegal Mabuya,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19339,
,Trachylepis albilabris,(HALLOWELL 1857),,E: Guinea Mabuya,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19340,
,Trachylepis albotaeniata,(BOETTGER 1913),,E: Pemba Island Skink,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",20125,
,Trachylepis atlantica,(SCHMIDT 1945),,Portuguese: Mabuia-de-Noronha,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19342,
,Trachylepis aureogularis,(MÜLLER 1885),,E: Guinea Mabuya,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",21917,
,Trachylepis aureopunctata,(GRANDIDIER 1867),,E: Gold-spotted Mabuya,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19344,
,Trachylepis bayonii,(BOCAGE 1872),"Trachylepis bayonii bayonii (BOCAGE 1872)
Trachylepis bayonii keniensis LOVERIDGE 1956","Bayão’s Skink, Bayon's Mabuya, Bayon’s skink
huilensis: Huila Skink","Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19345,
,Trachylepis bensonii,(PETERS 1867),,E: Benson's Mabuya,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19346,
,Trachylepis betsileana,(MOCQUARD 1906),,E: Betsileo Mabuya,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19347,
,Trachylepis binotata,(BOCAGE 1867),,"E: Ovambo Stree Skink, Bocage's Mabuya","Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19348,
,Trachylepis bocagii,(BOULENGER 1887),,E: Bocage’s Skink,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19349,
,Trachylepis boehmei,KOPPETSCH 2020,,E: Böhme’s Grass Skink,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",23220,
,Trachylepis boettgeri,(BOULENGER 1887),,E: Boettger'sMabuya,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19350,
,Trachylepis boulengeri,(STERNFELD 1911),,E: Boulenger's Mabuya,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19351,
,Trachylepis brauni,(TORNIER 1902),,E: Braun's Mabuya,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19352,
,Trachylepis brevicollis,(WIEGMANN 1837),,"E: Short-necked Skink, Sudan Mabuya","Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19353,
,Trachylepis buettneri,(MATSCHIE 1893),,,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19354,
,Trachylepis capensis,(GRAY 1831),,"E: Cape Skink, Cape Three-lined Skink","Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19355,
,Trachylepis casuarinae,(BROADLEY 1974),,E: Casuarina Island Skink,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",20121,
,Trachylepis chimbana,(BOULENGER 1887),,"E: Chimba Skink, Chimban Mabuya","Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19356,
,Trachylepis comorensis,(PETERS 1854),,,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19357,
,Trachylepis cristinae,"SINDACO, METALLINOU, PUPIN, FASOLA & CARRANZA 2012",,E: Abd Al Kuri Skink,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19358,
,Trachylepis damarana,(PETERS 1870),,E: Damara skink,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",21120,
,Trachylepis depressa,(PETERS 1854),,E: Eastern Sand Skink,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19359,
,Trachylepis dichroma,"GÜNTHER, WHITING & BAUER 2005",,E: Two-coloured skink,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19360,
,Trachylepis dumasi,(NUSSBAUM & RAXWORTHY 1995),,,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19361,
,Trachylepis elegans,PETERS 1854,"Trachylepis elegans elegans (PETERS 1854)
Trachylepis elegans delphinensis (BRYGOO 1983)",E: Elegant Mabuya,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19362,
,Trachylepis ferrarai,(LANZA 1978),,E: Ferrara's Mabuya,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19363,
,Trachylepis gonwouoi,"ALLEN, TAPONDJOU, WELTON & BAUER 2017",,"E: Gonwouo’s skink
F: Scinque de Gonwouo","Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",20947,
,Trachylepis gravenhorstii,(DUMÉRIL & BIBRON 1839),,E: Gravenhorst's Mabuya,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19364,
,Trachylepis hemmingi,"(GANS, LAURENT & PANDIT 1965)",,E: Somali Mabuya,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19365,
,Trachylepis hildebrandtii,(PETERS 1874),,E: Hildebrandt’s Skink,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19366,
,Trachylepis hoeschi,(MERTENS 1954),,E: Hoesch's Mabuya,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19367,
,Trachylepis homalocephala,(WIEGMANN 1828),,E: Red-Sided Skink,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19368,
,Trachylepis infralineata,(BOETTGER 1913),,,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19369,
,Trachylepis irregularis,(LÖNNBERG 1922),,E: Alpine Meadow Mabuya,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19370,
,Trachylepis keroanensis,(CHABANAUD 1921),,E: Teita Mabuya,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",21196,
,Trachylepis lacertiformis,(PETERS 1854),,E: Bronze Rock Skink,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19372,
,Trachylepis laevigata,(PETERS 1869),,E: Variable skink,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",21119,
,Trachylepis laevis,(BOULENGER 1907),,E: Angolan Blue-tailed Skink,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19373,
,Trachylepis langheldi,(STERNFELD 1917),,E: Langheld’s Skink,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",21884,
,Trachylepis lavarambo,(NUSSBAUM & RAXWORTHY 1998),,,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19374,
,Trachylepis loluiensis,KINGDON & SPAWLS 2010,,E: Lolui Island skink,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19375,
,Trachylepis maculata,(GRAY 1839),,E: Spotted Mabuya,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19376,
,Trachylepis maculilabris,(GRAY 1845),,"E: Speckle-lipped Mabuya (or Skink)
Casuarina Island Skink [casuarinae]","Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19377,
,Trachylepis madagascariensis,(MOCQUARD 1908),,E: Malagasy Mabuya,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19378,
,Trachylepis makolowodei,"CHIRIO, INEICH, SCHMITZ & LEBRETON 2008",,E: Makolowodé’s Trachylepis,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19379,
,Trachylepis margaritifera,(PETERS 1854),,"E: Rainbow skink
G: Blauschwanzskink","Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19380,
,Trachylepis megalura,(PETERS 1878),,"E: Grass Skink, Grass-top skink, Long-tailed Skink
G: Langschwanzskink","Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19381,
,Trachylepis mekuana,(CHIRIO & INEICH 2000),,,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19382,
,Trachylepis mlanjensis,(LOVERIDGE 1953),,E: Mulanje Skink,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19383,
,Trachylepis monardi,(MONARD 1937),,E: Monard’s Skink,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19341,
,Trachylepis nancycoutuae,(NUSSBAUM & RAXWORTHY 1998),,,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19384,
,Trachylepis nganghae,INEICH & CHIRIO 2004,,,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19385,
,Trachylepis occidentalis,(PETERS 1867),,E: Western three-striped skink,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19386,
,Trachylepis ozorii,(BOCAGE 1893),,,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19387,
,Trachylepis paucisquamis,(HOOGMOED 1978),,E: Tropical Mabuya,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",21918,
,Trachylepis pendeana,(INEICH & CHIRIO 2000),,,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19388,
,Trachylepis perrotetii,(DUMÉRIL & BIBRON 1839),"Trachylepis perrotetii perrotetii DUMÉRIL & BIBRON 1839
Trachylepis perrotetii upembae (DE WITTE 1953)","E: Teita Mabuya, AFRICAN RED-SIDED SKINK","Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19389,
,Trachylepis planifrons,(PETERS 1878),,E: Tree skink,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19390,
,Trachylepis polytropis,(BOULENGER 1903),,E: Tropical Mabuya,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19391,
,Trachylepis pulcherrima,(DE WITTE 1953),,E: Beautiful skink,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19392,
,Trachylepis punctatissima,(SMITH 1849),,"E: Speckled Rock Skink, Montane Speckled Skink","Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19393,
,Trachylepis punctulata,(BOCAGE 1872),,"E: Speckled Skink, Speckled sand skink","Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19394,
x,Trachylepis quinquetaeniata,(LICHTENSTEIN 1823),"Trachylepis quinquetaeniata quinquetaeniata (LICHTENSTEIN 1823)
Trachylepis quinquetaeniata riggenbachi (STERNFELD 1917)
Trachylepis quinquetaeniata scharica (STERNFELD 1917)","E: African Five-lined Skink, Rainbow Mabuya","Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19395,
,Trachylepis raymondlaurenti,"MARQUES, CERÍACO, BANDEIRA, PAUWELS & BAUER 2019",,"E: Laurent’s Long Tailed Skink
P: Lagartixa de Cauda Longa de Laurent
F: Scinque à longue queue de Laurent","Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",21924,
,Trachylepis rodenburgi,(HOOGMOED 1974),,E: Rodenburg's Mabuya,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19396,
,Trachylepis sechellensis,(DUMÉRIL & BIBRON 1839),,"E: Seychelles Mabuya
G: Seychellenskink","Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19397,
,Trachylepis socotrana,(PETERS 1882),,E: Socotra Skink,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19399,
,Trachylepis sparsa,(MERTENS 1954),,E: Karasburg Tree Skink,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19400,
,Trachylepis spilogaster,(PETERS 1882),,"E: Kalahari Tree Skink, Spiny Mabuya","Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19401,
,Trachylepis striata,(PETERS 1844),,"E: Striped Skink, African Striped Mabuya
G: Afrikanischer Streifenskink
striata: Eastern Striped Skink
wahlbergii: Wahlberg’s Striped Skink","Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19402,
,Trachylepis sulcata,(PETERS 1867),"Trachylepis sulcata ansorgii (BOULENGER 1907)
Trachylepis sulcata sulcata (PETERS 1867)","Western Rock Skink
ansorgi: Ansorge’s Rock Skink","Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19403,
,Trachylepis tandrefana,"(NUSSBAUM, RAXWORTHY & RAMANAMANJATO 1999)",,,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19404,
,Trachylepis tavaratra,"(RAMANAMANJATO, NUSSBAUM & RAXWORTHY 1999)",,,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19405,
,Trachylepis tessellata,(ANDERSON 1895),,E: Tessellated Mabuya,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19406,
,Trachylepis thomensis,"CERÍACO, MARQUES & BAUER 2016",,,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",20478,
,Trachylepis varia,(PETERS 1867),,E: Variable skink,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19407,
,Trachylepis variegata,(PETERS 1870),,E: Variegated Skink,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19408,
,Trachylepis vato,(NUSSBAUM &. RAXWORTHY 1994),,E: Boulder Mabuya,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19409,
,Trachylepis vezo,"(RAMANAMANJATO, NUSSBAUM & RAXWORTHY 1999)",,,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19410,
,Trachylepis volamenaloha,"(NUSSBAUM, RAXWORTHY & RAMANAMANJATO 1999)",,,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19412,
,Trachylepis wahlbergii,(PETERS 1870),,"E: Wahlberg’s Striped Skink
G: Wahlbergs Streifenskink","Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",21885,
,Trachylepis wingati,(WERNER 1908),,E: Wingate’s Skink,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19413,
,Trachylepis wrightii,(BOULENGER 1887),"Trachylepis wrightii ilotensis (RENDAHL 1939)
Trachylepis wrightii wrightii (BOULENGER 1887)",E: Wright's Mabuya,"Scincidae, Mabuyinae, Scincoidea, Sauria, Squamata (lizards)",19414,
